FID;COORD_X;COORD_Y;LONGITUD;ANGLE;C_Tram;C_Nus_I;C_Nus_F;Distric_D;NDistric_D;Illa_D;CVia_D;TVia_D;NVia_D;Tram_Dret;Distric_E;NDistric_E;Illa_E;CVia_E;TVia_E;NVia_E;Tram_Esq
11;432301.054;4581094.902;15.621;17.6;T00012E;N00012G;N00013H;01;Ciutat Vella;10271;010900;Carrer;Carrer Pepe Rubianes;24 <=> 26;01;Ciutat Vella;10501;010900;Carrer;Carrer Pepe Rubianes;23 <=> 25
12;432315.522;4581098.979;14.458;13.7;T00013F;N00013H;N00014I;01;Ciutat Vella;10271;010900;Carrer;Carrer Pepe Rubianes;24 <=> 26;01;Ciutat Vella;10501;010900;Carrer;Carrer Pepe Rubianes;23 <=> 25
13;432329.98;4581102.623;15.363;14.6;T00014G;N00014I;N00015J;01;Ciutat Vella;10260;010900;Carrer;Carrer Pepe Rubianes;28;01;Ciutat Vella;10521;010900;Carrer;Carrer Pepe Rubianes;27 <=> 29
14;432344.495;4581106.571;14.725;15.9;T00015H;N00015J;N00016K;01;Ciutat Vella;10250;010900;Carrer;Carrer Pepe Rubianes;30;01;Ciutat Vella;10521;010900;Carrer;Carrer Pepe Rubianes;29
15;432159.536;4580941.599;43.172;15.7;T00016I;N00017L;N00018M;01;Ciutat Vella;10130;010707;Carrer;Carrer Almirall Aixada;2;01;Ciutat Vella;10390;010707;Carrer;Carrer Almirall Aixada;1
16;432187.326;4580949.661;14.705;17.6;T00017J;N00018M;N00019N;01;Ciutat Vella;10140;010707;Carrer;Carrer Almirall Aixada;4;01;Ciutat Vella;10371;010707;Carrer;Carrer Almirall Aixada;3 <=> 5
17;432201.697;4580953.994;15.319;16;T00018K;N00019N;N00020G;01;Ciutat Vella;10150;010707;Carrer;Carrer Almirall Aixada;6;01;Ciutat Vella;10371;010707;Carrer;Carrer Almirall Aixada;3 <=> 5
18;432216.271;4580958.271;15.059;16.7;T00019L;N00020G;N00021H;01;Ciutat Vella;10160;010707;Carrer;Carrer Almirall Aixada;8;01;Ciutat Vella;10360;010707;Carrer;Carrer Almirall Aixada;7
19;432230.845;4580962.575;15.334;16.2;T00020E;N00021H;N00022I;01;Ciutat Vella;10170;010707;Carrer;Carrer Almirall Aixada;10;01;Ciutat Vella;10350;010707;Carrer;Carrer Almirall Aixada;9
20;432245.285;4580966.525;14.61;14.4;T00021F;N00022I;N00023J;01;Ciutat Vella;10180;010707;Carrer;Carrer Almirall Aixada;12;01;Ciutat Vella;10331;010707;Carrer;Carrer Almirall Aixada;11 <=> 13
21;432259.371;4580970.584;14.721;17.8;T00022G;N00023J;N00024K;01;Ciutat Vella;10190;010707;Carrer;Carrer Almirall Aixada;14;01;Ciutat Vella;10331;010707;Carrer;Carrer Almirall Aixada;11 <=> 13
22;432273.693;4580974.994;15.252;16.5;T00023H;N00024K;N00025L;01;Ciutat Vella;10200;010707;Carrer;Carrer Almirall Aixada;16;01;Ciutat Vella;10320;010707;Carrer;Carrer Almirall Aixada;15
23;432288.105;4580978.868;14.606;13.5;T00024I;N00025L;N00026M;01;Ciutat Vella;10210;010707;Carrer;Carrer Almirall Aixada;18;01;Ciutat Vella;10310;010707;Carrer;Carrer Almirall Aixada;17
24;432302.24;4580982.799;14.753;17.5;T00025J;N00026M;N00027N;01;Ciutat Vella;10220;010707;Carrer;Carrer Almirall Aixada;20;01;Ciutat Vella;10300;010707;Carrer;Carrer Almirall Aixada;19
25;432316.506;4580986.982;14.987;15.2;T00026K;N00027N;N00028O;01;Ciutat Vella;10230;010707;Carrer;Carrer Almirall Aixada;22;01;Ciutat Vella;10290;010707;Carrer;Carrer Almirall Aixada;21
26;432330.64;4580990.912;14.354;15.9;T00027L;N00028O;N00029P;01;Ciutat Vella;10240;010707;Carrer;Carrer Almirall Aixada;24;01;Ciutat Vella;10271;010707;Carrer;Carrer Almirall Aixada;23 <=> 25
27;432345.196;4580995.432;17.754;16.3;T00028M;N00029P;N00030I;01;Ciutat Vella;10040;010707;Carrer;Carrer Almirall Aixada;26 - 32;01;Ciutat Vella;10271;010707;Carrer;Carrer Almirall Aixada;23 <=> 25
28;432357.029;4581006.982;15.528;47.2;T00029N;N00030I;N00031J;01;Ciutat Vella;10040;010707;Carrer;Carrer Almirall Aixada;26 - 32;01;Ciutat Vella;10260;010707;Carrer;Carrer Almirall Aixada;27
29;432182.588;4580861.196;43.328;15.39;T00030G;N00032K;N00033L;01;Ciutat Vella;10120;174001;Carrer;Carrer Judici;2;01;Ciutat Vella;10130;174001;Carrer;Carrer Judici;1
30;432210.53;4580868.937;14.66;15.8;T00031H;N00033L;N00034M;01;Ciutat Vella;10110;174001;Carrer;Carrer Judici;4;01;Ciutat Vella;10140;174001;Carrer;Carrer Judici;3
31;432224.926;4580873.27;15.413;17.7;T00032I;N00034M;N00035N;01;Ciutat Vella;10100;174001;Carrer;Carrer Judici;6;01;Ciutat Vella;10150;174001;Carrer;Carrer Judici;5
32;432239.448;4580877.472;14.834;14.5;T00033J;N00035N;N00036O;01;Ciutat Vella;10090;174001;Carrer;Carrer Judici;8;01;Ciutat Vella;10160;174001;Carrer;Carrer Judici;7
33;432253.861;4580881.371;15.031;15.7;T00034K;N00036O;N00037P;01;Ciutat Vella;10080;174001;Carrer;Carrer Judici;10;01;Ciutat Vella;10170;174001;Carrer;Carrer Judici;9
34;432268.482;4580885.521;15.368;16;T00035L;N00037P;N00038Q;01;Ciutat Vella;10070;174001;Carrer;Carrer Judici;12;01;Ciutat Vella;10180;174001;Carrer;Carrer Judici;11
35;432282.878;4580889.752;14.641;16.8;T00036M;N00038Q;N00039R;01;Ciutat Vella;10060;174001;Carrer;Carrer Judici;14;01;Ciutat Vella;10190;174001;Carrer;Carrer Judici;13
36;432297.041;4580893.835;14.841;15.3;T00037N;N00039R;N00040K;01;Ciutat Vella;10050;174001;Carrer;Carrer Judici;16 <=> 18;01;Ciutat Vella;10200;174001;Carrer;Carrer Judici;15
37;432311.429;4580897.786;15.001;15.36;T00038O;N00040K;N00041L;01;Ciutat Vella;00002;000000; ; ;0;01;Ciutat Vella;10210;174001;Carrer;Carrer Judici;17
38;432238.507;4580772.768;15.255;15.88;T00040I;N00043N;N00044O;01;Ciutat Vella;10030;027109;Carrer;Carrer Drassana;2 - 10;01;Ciutat Vella;10110;027109;Carrer;Carrer Drassana;3
39;432253.207;4580776.992;15.334;16.19;T00041J;N00044O;N00045P;01;Ciutat Vella;10030;027109;Carrer;Carrer Drassana;2 - 10;01;Ciutat Vella;10100;027109;Carrer;Carrer Drassana;5
40;432267.425;4580781.278;14.367;17.4;T00042K;N00045P;N00046Q;01;Ciutat Vella;10030;027109;Carrer;Carrer Drassana;12;01;Ciutat Vella;10090;027109;Carrer;Carrer Drassana;7
41;432164.894;4581000.288;110.105;-74;T00049R;N00002E;N00018M;01;Ciutat Vella;10390;194202;Carrer;Carrer Mar;86 - 84 <=> 106 - 104;01;Ciutat Vella;10371;194202;Carrer;Carrer Mar;71 - 73 <=> 91 - 93
42;432191.896;4580907.193;83.758;-74;T00050K;N00018M;N00033L;01;Ciutat Vella;10130;194202;Carrer;Carrer Mar;112 - 108 <=> 124 - 120;01;Ciutat Vella;10140;194202;Carrer;Carrer Mar;95 - 99 <=> 109 - 111
43;432217.323;4580818.814;100.17;-74;T00051L;N00033L;N00043N;01;Ciutat Vella;10120;194202;Carrer;Carrer Mar;128 - 126 <=> 146 - 144;01;Ciutat Vella;10110;194202;Carrer;Carrer Mar;113 - 115 <=> 129 - 133
44;432205.96;4580911.405;84.227;-74;T00053N;N00019N;N00034M;01;Ciutat Vella;10140;311408;Carrer;Carrer Sant Elm;62 - 58 <=> 74 - 72;01;Ciutat Vella;10150;311408;Carrer;Carrer Sant Elm;57 <=> 71 - 73
45;432231.714;4580822.892;100.143;-74;T00054O;N00034M;N00044O;01;Ciutat Vella;10110;311408;Carrer;Carrer Sant Elm;78 - 76 <=> 96 - 92;01;Ciutat Vella;10100;311408;Carrer;Carrer Sant Elm;75 <=> 95
46;432193.788;4581008.874;109.868;286.14;T00055P;N00004G;N00020G;01;Ciutat Vella;10371;307808;Carrer;Carrer Sant Miquel;72 - 74 <=> 92 - 94;01;Ciutat Vella;10360;307808;Carrer;Carrer Sant Miquel;77 - 81 <=> 97 - 99
47;432220.664;4580915.858;83.773;286.08;T00056Q;N00020G;N00035N;01;Ciutat Vella;10150;307808;Carrer;Carrer Sant Miquel;96 <=> 110 - 112;01;Ciutat Vella;10160;307808;Carrer;Carrer Sant Miquel;101 <=> 115 - 117
48;432246.419;4580827.37;100.546;286.35;T00057R;N00035N;N00045P;01;Ciutat Vella;10100;307808;Carrer;Carrer Sant Miquel;114 <=> 134;01;Ciutat Vella;10090;307808;Carrer;Carrer Sant Miquel;119 <=> 131 - 137
49;432235.055;4580919.885;84.342;-74;T00059T;N00021H;N00036O;01;Ciutat Vella;10160;254100;Carrer;Carrer Pescadors;58 <=> 74 - 72;01;Ciutat Vella;10170;254100;Carrer;Carrer Pescadors;57 <=> 71 - 73
50;432260.454;4580831.379;99.814;-74;T00060M;N00036O;N00046Q;01;Ciutat Vella;10090;254100;Carrer;Carrer Pescadors;76 <=> 94 - 88;01;Ciutat Vella;10080;254100;Carrer;Carrer Pescadors;75 <=> 87
51;432222.895;4581016.769;108.524;286.39;T00061N;N00006I;N00022I;01;Ciutat Vella;10350;087406;Carrer;Carrer Comte de Santa Clara;34 - 36 <=> 56 - 54;01;Ciutat Vella;10331;087406;Carrer;Carrer Comte de Santa Clara;33 <=> 53 - 55
52;432249.651;4580924.061;84.462;-74;T00062O;N00022I;N00037P;01;Ciutat Vella;10170;087406;Carrer;Carrer Comte de Santa Clara;58 <=> 74 - 72;01;Ciutat Vella;10180;087406;Carrer;Carrer Comte de Santa Clara;57 - 59 <=> 71 - 73
53;432271.38;4580849.119;71.6;-73;T00063P;N00037P;N00047R;01;Ciutat Vella;10080;087406;Carrer;Carrer Comte de Santa Clara;76 <=> 88;01;Ciutat Vella;10070;087406;Carrer;Carrer Comte de Santa Clara;75 <=> 83
54;432264.116;4580927.985;84.059;-74;T00065R;N00023J;N00038Q;01;Ciutat Vella;10180;324807;Carrer;Carrer Sevilla;60 - 58 <=> 74 - 72;01;Ciutat Vella;10190;324807;Carrer;Carrer Sevilla;57 <=> 71 - 73
55;432282.994;4580863.384;50.546;-74;T00066S;N00038Q;N00048S;01;Ciutat Vella;10070;324807;Carrer;Carrer Sevilla;76 <=> 84;01;Ciutat Vella;10060;324807;Carrer;Carrer Sevilla;75 <=> 77 - 79
56;432251.419;4581024.702;107.972;-74;T00067T;N00008K;N00024K;01;Ciutat Vella;10331;033305;Carrer;Carrer Baluard;82 - 80 <=> 102;01;Ciutat Vella;10320;033305;Carrer;Carrer Baluard;49 - 51 <=> 67 - 69
57;432278.132;4580932.35;84.302;-74;T00068U;N00024K;N00039R;01;Ciutat Vella;10190;033305;Carrer;Carrer Baluard;104 <=> 120 - 118;01;Ciutat Vella;10200;033305;Carrer;Carrer Baluard;71 <=> 85 - 87
58;432293.059;4580879.584;27.499;-76;T00069V;N00039R;N00049T;01;Ciutat Vella;10060;033305;Carrer;Carrer Baluard;122 <=> 126 - 124;01;Ciutat Vella;10050;033305;Carrer;Carrer Baluard;89
59;432265.733;4581028.705;107.524;-73;T00070O;N00009L;N00025L;01;Ciutat Vella;10320;187706;Carrer;Carrer Mestrança;26 - 24 <=> 44 - 42;01;Ciutat Vella;10310;187706;Carrer;Carrer Mestrança;21 - 23 <=> 41 - 43
60;432292.601;4580936.478;84.6;-74;T00071P;N00025L;N00040K;01;Ciutat Vella;10200;187706;Carrer;Carrer Mestrança;46 <=> 62 - 60;01;Ciutat Vella;10210;187706;Carrer;Carrer Mestrança;45 - 47 <=> 59 - 61
61;432307.072;4580890.114;12.74;296.83;T00072Q;N00040K;N00050M;01;Ciutat Vella;10050;187706;Carrer;Carrer Mestrança;64;01;Ciutat Vella;00002;000000; ; ;0
62;432280.145;4581032.579;108.275;-74;T00073R;N00010E;N00026M;01;Ciutat Vella;10310;207100;Carrer;Carrer Meer;24 - 22 <=> 44 - 42;01;Ciutat Vella;10300;207100;Carrer;Carrer Meer;23 - 25 <=> 41 - 43
63;432306.933;4580940.176;84.142;286.19;T00074S;N00026M;N00041L;01;Ciutat Vella;10210;207100;Carrer;Carrer Meer;46 - 48 <=> 60 - 62;01;Ciutat Vella;10220;207100;Carrer;Carrer Meer;45 <=> 57 B
64;432294.339;4581036.89;107.956;-74;T00075T;N00011F;N00027N;01;Ciutat Vella;10300;262608;Carrer;Carrer Pontevedra;26 - 24 <=> 44 - 42;01;Ciutat Vella;10290;262608;Carrer;Carrer Pontevedra;21 - 23 <=> 41 - 43
65;432319.767;4580948.281;76.416;285.94;T00076U;N00027N;N00053P;01;Ciutat Vella;10220;262608;Carrer;Carrer Pontevedra;46 <=> 58 B;01;Ciutat Vella;10230;262608;Carrer;Carrer Pontevedra;45 <=> 51 - 53
66;432308.674;4581040.741;107.886;-74;T00079X;N00012G;N00028O;01;Ciutat Vella;10290;027700;Carrer;Carrer Atlàntida;50 - 48 <=> 70 - 68;01;Ciutat Vella;10271;027700;Carrer;Carrer Atlàntida;83 - 85 <=> 103 - 105
67;432331.804;4580961.002;58.164;286.1;T00080Q;N00028O;N00051N;01;Ciutat Vella;10230;027700;Carrer;Carrer Atlàntida;72 <=> 82 - 78;01;Ciutat Vella;10240;027700;Carrer;Carrer Atlàntida;107 - 115
68;432337.147;4581050.99;103.602;-74;T00083T;N00014I;N00030I;01;Ciutat Vella;10271;150003;Carrer;Carrer Grau i Torras;42 <=> 64;01;Ciutat Vella;10260;150003;Carrer;Carrer Grau i Torras;41 <=> 59
69;432349.861;4581058.614;95.193;285.16;T00084U;N00015J;N00031J;01;Ciutat Vella;10260;153307;Carrer;Carrer Guitert;42 - 46 <=> 60;01;Ciutat Vella;10250;153307;Carrer;Carrer Guitert;41 - 43 <=> 61
70;432360.799;4581075.693;68.325;285.66;T00085V;N00016K;N00054Q;01;Ciutat Vella;10250;361803;Carrer;Carrer Vila Joiosa;42 - 44 <=> 56;01;Ciutat Vella;10250;361803;Carrer;Carrer Vila Joiosa;39 - 41 <=> 47
71;432103.922;4581133.884;43.002;15.76;T00086W;N00055R;N00056S;01;Ciutat Vella;10410;298004;Carrer;Carrer Sant Carles;2;01;Ciutat Vella;10670;298004;Carrer;Carrer Sant Carles;1
72;432131.676;4581141.993;14.834;17.8;T00087X;N00056S;N00057T;01;Ciutat Vella;10421;298004;Carrer;Carrer Sant Carles;4 <=> 6;01;Ciutat Vella;10660;298004;Carrer;Carrer Sant Carles;3
73;432146.194;4581146.043;15.332;13.4;T00088Y;N00057T;N00058U;01;Ciutat Vella;10421;298004;Carrer;Carrer Sant Carles;4 <=> 6;01;Ciutat Vella;10650;298004;Carrer;Carrer Sant Carles;5
74;432160.862;4581150.014;15.075;16.9;T00089Z;N00058U;N00059V;01;Ciutat Vella;10441;298004;Carrer;Carrer Sant Carles;8 <=> 10;01;Ciutat Vella;10640;298004;Carrer;Carrer Sant Carles;7
75;432175.021;4581153.918;14.31;13.9;T00090S;N00059V;N00060O;01;Ciutat Vella;10441;298004;Carrer;Carrer Sant Carles;8 <=> 10;01;Ciutat Vella;10630;298004;Carrer;Carrer Sant Carles;9
76;432189.231;4581157.847;15.187;17;T00091T;N00060O;N00061P;01;Ciutat Vella;10461;298004;Carrer;Carrer Sant Carles;12 <=> 14;01;Ciutat Vella;10620;298004;Carrer;Carrer Sant Carles;11
77;432203.751;4581161.974;15.008;14.8;T00092U;N00061P;N00062Q;01;Ciutat Vella;10461;298004;Carrer;Carrer Sant Carles;12 <=> 14;01;Ciutat Vella;10611;298004;Carrer;Carrer Sant Carles;13
78;432276.498;4581181.886;14.861;14.53;T00095X;N00064S;N00065T;01;Ciutat Vella;10501;298004;Carrer;Carrer Sant Carles;24 <=> 26;01;Ciutat Vella;10960;298004;Carrer;Carrer Sant Carles;15
79;432290.919;4581185.534;14.89;13.9;T00096Y;N00065T;N00066U;01;Ciutat Vella;10501;298004;Carrer;Carrer Sant Carles;24 <=> 26;01;Ciutat Vella;10970;298004;Carrer;Carrer Sant Carles;17
80;432305.304;4581189.333;14.87;15.72;T00097Z;N00066U;N00067V;01;Ciutat Vella;10521;298004;Carrer;Carrer Sant Carles;28;01;Ciutat Vella;10980;298004;Carrer;Carrer Sant Carles;19 <=> 19 B
81;432319.949;4581193.405;15.533;15.4;T00098A;N00067V;N00068W;01;Ciutat Vella;10521;298004;Carrer;Carrer Sant Carles;28 <=> 30;01;Ciutat Vella;10990;298004;Carrer;Carrer Sant Carles;21
82;432334.39;4581197.406;14.437;15.6;T00099B;N00068W;N00069X;01;Ciutat Vella;10541;298004;Carrer;Carrer Sant Carles;32 <=> 34;01;Ciutat Vella;11000;298004;Carrer;Carrer Sant Carles;23
83;432348.598;4581201.259;15.008;14.8;T00100D;N00069X;N00070Q;01;Ciutat Vella;10541;298004;Carrer;Carrer Sant Carles;32 <=> 34;01;Ciutat Vella;11010;298004;Carrer;Carrer Sant Carles;25
84;432363.244;4581205.307;15.383;16.1;T00101E;N00070Q;N00071R;01;Ciutat Vella;10561;298004;Carrer;Carrer Sant Carles;36;01;Ciutat Vella;11020;298004;Carrer;Carrer Sant Carles;27
85;432377.836;4581209.279;14.868;14.29;T00102F;N00071R;N00072S;01;Ciutat Vella;10570;298004;Carrer;Carrer Sant Carles;38;01;Ciutat Vella;11030;298004;Carrer;Carrer Sant Carles;29
86;432392.502;4581213.121;15.455;15.06;T00103G;N00072S;N00073T;01;Ciutat Vella;10570;298004;Carrer;Carrer Sant Carles;38;01;Ciutat Vella;11040;298004;Carrer;Carrer Sant Carles;31
87;432407.02;4581217.146;14.676;15.95;T00104H;N00073T;N00074U;01;Ciutat Vella;10561;298004;Carrer;Carrer Sant Carles;42 - 46;01;Ciutat Vella;11050;298004;Carrer;Carrer Sant Carles;33
88;432421.333;4581221.124;15.036;15.12;T00105I;N00074U;N00075V;01;Ciutat Vella;10561;298004;Carrer;Carrer Sant Carles;42 - 46;01;Ciutat Vella;11060;298004;Carrer;Carrer Sant Carles;35
89;432435.851;4581225.084;15.062;15.39;T00106J;N00075V;N00076W;01;Ciutat Vella;10561;298004;Carrer;Carrer Sant Carles;42 - 46;01;Ciutat Vella;11070;298004;Carrer;Carrer Sant Carles;37
90;432177.623;4581250.564;16.149;15.91;T00107K;N00077X;N00078Y;01;Ciutat Vella;10740;015405;Carrer;Carrer Andrea Doria;2 <=> 4;01;Ciutat Vella;10740;015405;Carrer;Carrer Andrea Doria;1 <=> 3 - 17
91;432250.641;4581271.73;14.84;16.34;T00108L;N00079Z;N00080S;01;Ciutat Vella;10960;015405;Carrer;Carrer Andrea Doria;6;01;Ciutat Vella;11120;015405;Carrer;Carrer Andrea Doria;19
92;432265.218;4581275.951;15.513;15.98;T00109M;N00080S;N00081T;01;Ciutat Vella;10970;015405;Carrer;Carrer Andrea Doria;8;01;Ciutat Vella;11120;015405;Carrer;Carrer Andrea Doria;21 <=> 23
93;432279.895;4581279.976;14.926;14.67;T00110F;N00081T;N00082U;01;Ciutat Vella;10980;015405;Carrer;Carrer Andrea Doria;10;01;Ciutat Vella;11120;015405;Carrer;Carrer Andrea Doria;25 - 31
94;432294.206;4581284.11;14.876;17.56;T00111G;N00082U;N00083V;01;Ciutat Vella;10990;015405;Carrer;Carrer Andrea Doria;12;01;Ciutat Vella;11120;015405;Carrer;Carrer Andrea Doria;25 - 31 <=> 33 - 35
95;432270.726;4581228.783;93.724;286.06;T00112H;N00080S;N00065T;01;Ciutat Vella;10960;364007;Carrer;Carrer Vinaròs;2 - 4 <=> 16 - 20;01;Ciutat Vella;10970;364007;Carrer;Carrer Vinaròs;1 <=> 19
96;432285.411;4581232.702;94.274;285.68;T00114J;N00081T;N00066U;01;Ciutat Vella;10970;150003;Carrer;Carrer Grau i Torras;2 <=> 20;01;Ciutat Vella;10980;150003;Carrer;Carrer Grau i Torras;1 - 3 <=> 19
97;432299.788;4581236.607;94.001;285.64;T00116L;N00082U;N00067V;01;Ciutat Vella;10980;153307;Carrer;Carrer Guitert;2 - 4 <=> 20;01;Ciutat Vella;10990;153307;Carrer;Carrer Guitert;1 <=> 19
98;432314.368;4581240.909;94.574;286.05;T00118N;N00083V;N00068W;01;Ciutat Vella;10990;361803;Carrer;Carrer Vila Joiosa;2 <=> 20;01;Ciutat Vella;11000;361803;Carrer;Carrer Vila Joiosa;1 <=> 17 - 19
99;432339.507;4581152.026;90.167;-74;T00119O;N00068W;N00016K;01;Ciutat Vella;10521;361803;Carrer;Carrer Vila Joiosa;24 - 22 <=> 40 - 38;01;Ciutat Vella;10541;361803;Carrer;Carrer Vila Joiosa;21 - 27 <=> 37
100;432308.542;4581288.442;15.079;16.08;T00120H;N00083V;N00084W;01;Ciutat Vella;11000;015405;Carrer;Carrer Andrea Doria;14;01;Ciutat Vella;11120;015405;Carrer;Carrer Andrea Doria;33 - 35
101;432323.164;4581292.575;15.311;15.49;T00121I;N00084W;N00085X;01;Ciutat Vella;11010;015405;Carrer;Carrer Andrea Doria;16;01;Ciutat Vella;11120;015405;Carrer;Carrer Andrea Doria;37 - 39
102;432337.839;4581296.367;15.007;13.47;T00122J;N00085X;N00086Y;01;Ciutat Vella;11020;015405;Carrer;Carrer Andrea Doria;18;01;Ciutat Vella;11130;015405;Carrer;Carrer Andrea Doria;41
103;432328.564;4581244.939;94.695;285.66;T00123K;N00084W;N00069X;01;Ciutat Vella;11000;007101;Carrer;Carrer Alcanar;2 <=> 20 - 18;01;Ciutat Vella;11010;007101;Carrer;Carrer Alcanar;1 <=> 19
104;432367.067;4581303.932;15.61;14.72;T00126N;N00088A;N00089B;01;Ciutat Vella;11040;015405;Carrer;Carrer Andrea Doria;22;01;Ciutat Vella;11143;015405;Carrer;Carrer Andrea Doria;45 <=> 47
105;432381.506;4581307.993;14.394;16.78;T00127O;N00089B;N00090U;01;Ciutat Vella;11050;015405;Carrer;Carrer Andrea Doria;24;01;Ciutat Vella;11143;015405;Carrer;Carrer Andrea Doria;49
106;432395.548;4581312.37;15.023;17.83;T00128P;N00090U;N00091V;01;Ciutat Vella;11060;015405;Carrer;Carrer Andrea Doria;26;01;Ciutat Vella;11143;015405;Carrer;Carrer Andrea Doria;51 <=> 51 B
107;432409.906;4581317.168;15.256;19.12;T00129Q;N00091V;N00092W;01;Ciutat Vella;11070;015405;Carrer;Carrer Andrea Doria;28;01;Ciutat Vella;11143;015405;Carrer;Carrer Andrea Doria;53
108;432424.132;4581321.854;14.703;17.31;T00130J;N00092W;N00093X;01;Ciutat Vella;11080;015405;Carrer;Carrer Andrea Doria;30;01;Ciutat Vella;11143;015405;Carrer;Carrer Andrea Doria;55
109;432437.804;4581325.956;13.848;16.05;T00131K;N00093X;N00094Y;01;Ciutat Vella;11090;015405;Carrer;Carrer Andrea Doria;32;01;Ciutat Vella;11143;015405;Carrer;Carrer Andrea Doria;43 <=> 61 - 71
110;432359.643;4581110.797;16.728;15.32;T00134N;N00016K;N00087Z;01;Ciutat Vella;10250;010900;Carrer;Carrer Pepe Rubianes;30 <=> 38;01;Ciutat Vella;10541;010900;Carrer;Carrer Pepe Rubianes;31 <=> 33
111;432374.299;4581115.028;13.784;17.06;T00135O;N00087Z;N00097B;01;Ciutat Vella;10250;010900;Carrer;Carrer Pepe Rubianes;30 <=> 38;01;Ciutat Vella;10541;010900;Carrer;Carrer Pepe Rubianes;31 <=> 33
112;432415.645;4581268.877;95.174;-74;T00137Q;N00091V;N00075V;01;Ciutat Vella;11060;328105;Carrer;Carrer Sòria;2 <=> 20 - 18;01;Ciutat Vella;11070;328105;Carrer;Carrer Sòria;1 - 7 <=> 17 - 19
113;432430.113;4581273.375;96.165;285.69;T00138R;N00092W;N00076W;01;Ciutat Vella;11070;039607;Carrer;Carrer Berenguer Mallol;8 - 2 <=> 86;01;Ciutat Vella;11080;039607;Carrer;Carrer Berenguer Mallol;1 - 3 <=> 19
114;432343.198;4581248.894;94.888;285.47;T00141M;N00085X;N00070Q;01;Ciutat Vella;11010;102102;Carrer;Carrer Doctor Giné i Partagàs;44 <=> 62;01;Ciutat Vella;11020;102102;Carrer;Carrer Doctor Giné i Partagàs;43 <=> 59 - 61
115;432368.371;4581160.11;89.684;-74;T00142N;N00070Q;N00097B;01;Ciutat Vella;10541;102102;Carrer;Carrer Doctor Giné i Partagàs;64 <=> 82 - 78;01;Ciutat Vella;10561;102102;Carrer;Carrer Doctor Giné i Partagàs;63 <=> 79
116;432357.884;4581252.779;94.188;285.71;T00143O;N00086Y;N00071R;01;Ciutat Vella;11020;293306;Carrer;Carrer Salamanca;22 - 24 <=> 38 - 40;01;Ciutat Vella;11030;293306;Carrer;Carrer Salamanca;21 <=> 39
